Nivel,Opción
A1,"Pronombres personales y de objeto (I, you, he, etc.)"
A1,Presente Simple (uso y conjugación)
A1,"Preposiciones básicas (in, on, at)"
A1,"Adjetivos y adverbios básicos (big, fast, etc.)"
A1,Estructura de preguntas y negaciones simples
A1,"Vocabulario de uso cotidiano (familia, lugares, objetos)"
A1,Verbos comunes y frases básicas
A2,"Pronombres reflexivos (myself, yourself)"
A2,Tiempos verbales: Pasado Simple (uso y conjugación)
A2,"Preposiciones de tiempo (before, after, during)"
A2,"Conjunciones básicas y conectores (and, but, because)"
A2,"Comparativos y superlativos (bigger, the biggest)"
A2,"Modal Verbs: Can, Could (posibilidad y permiso)"
A2,Introducción a gerundios e infinitivos
A2,"Vocabulario sobre rutinas, trabajos, y hobbies"
A2,Estructuras interrogativas y respuestas cortas
B1,Revisión y ampliación de pronombres
B1,"Tiempos verbales: Presente Perfecto, Pasado Continuo"
B1,"Conjunciones y conectores más complejos (although, however)"
B1,"Modal Verbs (must, should, might) para expresar necesidad y consejo"
B1,"Phrasal Verbs comunes (get up, look for)"
B1,Reported Speech (Discurso indirecto)
B1,"Cláusulas de relativo (who, which, that)"
B1,"Expresiones de cantidad (a lot of, many, few)"
B1,Estructuras de preguntas y negaciones más complejas
B1,"Vocabulario de viajes, experiencias y tecnología"
B2,"Condicionales (tipo 1, 2 y 3)"
B2,Voz pasiva (todas las formas)
B2,Estilo indirecto (reported speech avanzado)
B2,"Revisión de tiempos verbales avanzados (futuro perfecto, pasado perfecto)"
B2,Artículos (definidos e indefinidos)
B2,"Preposiciones complejas (beside, despite)"
B2,"Conjunciones y conectores avanzados (moreover, nonetheless)"
B2,"Modal Verbs avanzados (ought to, had better)"
B2,"Phrasal Verbs más sofisticados (run out of, come across)"
B2,Expresiones idiomáticas y de cantidad avanzadas
B2,Estructuras subjuntivas y de imperativo
B2,"Vocabulario avanzado sobre temas abstractos (política, medio ambiente)"
C1,Estructuras condicionales y subjuntivas avanzadas
C1,Voz pasiva y usos en lenguaje formal y técnico
C1,Perfeccionamiento de todos los tiempos verbales
C1,Uso avanzado de artículos y preposiciones en contextos complejos
C1,"Conjunciones y conectores para cohesión textual (nevertheless, on the other hand)"
C1,"Modal Verbs con matices de certeza y obligación (should have, would have)"
C1,Phrasal Verbs y expresiones idiomáticas de nivel superior (to take something for granted)
C1,Reported Speech con matices y variaciones
C1,"Vocabulario específico y profesional en áreas como negocios, derecho, etc."
C1,Estrategias de escritura argumentativa y ensayística
C1,Pronunciación y entonación avanzada
C2,Dominio absoluto de todas las estructuras gramaticales
C2,Uso de estructuras complejas para expresarse con precisión
C2,Matices en la voz pasiva y estructuras causativas
C2,Estructuras de debate y persuasión avanzada
C2,"Conectores para cohesión y fluidez casi nativa (albeit, notwithstanding)"
C2,Expresiones idiomáticas y coloquialismos complejos
C2,"Matices de estilo (formal, semiformal, informal)"
C2,"Escritura de documentos formales, informes, y textos literarios"
C2,Pronunciación y entonación que simula la fluidez nativa
C2,"Capacidad de analizar y entender textos de alta complejidad (literarios, técnicos)"
